SV1,SV2,SV3,SV4,SG1,SG2,SG3,SG4,SU1,SU2,SU3,SU4,SM1,SM2,SM3,SM4,SF1,SF2,SF3,SF4,SY1,SY2,SY3,SY4,SK1,SK2,SK3,SK4,TP1,TP2,TP3,TP4,idade,sexo,setor_trabalha,porte_org,funcao_cargo,tempo_atuacao_org_anos,ja_recebeu_treinamento
6,6,5,4,6,3,3,2,6,7,7,6,7,5,4,2,3,2,3,6,2,4,5,5,7,6,5,4,5,4,3,2,36,Masculino,Pública,Grande (250 ou mais),"Operacional/técnica (analista, desenvolvedor, técnico)",11,Não
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,6,7,7,7,7,6,6,7,4,7,7,7,5,6,7,24,Masculino,Privada,Grande (250 ou mais),"Operacional/técnica (analista, desenvolvedor, técnico)",0,Sim
7,7,7,6,6,7,6,6,6,4,6,6,5,5,6,4,5,4,4,7,6,6,6,6,6,6,6,6,6,6,6,6,23,Masculino,Privada,Média (50 a 249),"Operacional/técnica (analista, desenvolvedor, técnico)",1,Não
6,5,7,6,5,5,6,4,5,5,6,4,5,5,6,1,2,2,6,5,7,7,6,6,4,4,4,1,6,4,4,1,27,Masculino,Privada,Média (50 a 249),"Operacional/técnica (analista, desenvolvedor, técnico)",0,Sim
7,7,6,5,5,5,6,4,5,7,7,6,6,5,6,1,4,3,5,2,4,3,4,5,6,5,5,5,4,4,5,6,44,Masculino,Pública,Grande (250 ou mais),"Operacional/técnica (analista, desenvolvedor, técnico)",19,Sim
5,4,5,4,5,4,5,4,4,5,5,5,5,5,5,3,3,3,3,4,5,5,5,5,5,5,5,3,4,2,5,2,50,Masculino,Pública,Grande (250 ou mais),"Operacional/técnica (analista, desenvolvedor, técnico)",27,Não
4,4,4,4,4,3,4,2,3,3,3,4,4,4,5,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,47,Masculino,Pública,Grande (250 ou mais),"Operacional/técnica (analista, desenvolvedor, técnico)",14,Não
5,5,6,6,4,5,4,4,6,7,7,6,5,5,4,5,5,5,5,4,5,5,4,4,6,4,4,4,5,5,6,5,48,Feminino,Pública,Grande (250 ou mais),"Operacional/técnica (analista, desenvolvedor, técnico)",24,Sim
4,4,5,4,3,4,4,7,6,5,5,3,5,4,1,1,1,3,1,6,5,5,5,6,3,3,6,2,3,1,5,2,55,Masculino,Pública,Grande (250 ou mais),Coordenação/supervisão,18,Sim
6,6,7,6,5,6,6,5,5,6,5,5,4,4,5,1,4,5,4,5,5,5,5,4,5,6,6,4,5,5,4,1,38,Masculino,Pública,Grande (250 ou mais),"Operacional/técnica (analista, desenvolvedor, técnico)",2,Não
5,5,5,4,3,3,2,2,3,2,2,2,3,3,7,4,6,5,2,4,2,5,4,3,1,1,1,1,4,2,4,1,40,Masculino,Pública,Grande (250 ou mais),"Operacional/técnica (analista, desenvolvedor, técnico)",1,Não
7,6,6,6,7,7,6,5,6,7,7,6,6,7,6,4,7,6,5,6,7,7,7,7,6,4,4,4,7,6,5,4,42,Masculino,Pública,Grande (250 ou mais),Gerência,1,Sim
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,30,Feminino,Privada,Média (50 a 249),"Operacional/técnica (analista, desenvolvedor, técnico)",2,Sim
7,6,7,6,7,7,6,5,6,5,5,5,7,6,7,4,7,6,4,5,7,7,7,7,6,6,5,4,6,4,6,6,34,Feminino,Pública,Grande (250 ou mais),"Operacional/técnica (analista, desenvolvedor, técnico)",1,Não
