;[SF1] Os membros da minha empresa entendem seus papéis e responsabilidades na proteção da tecnologia da empresa.;[SF2] Os membros da minha empresa aderem estritamente aos regulamentos e diretrizes relevantes para proteger a tecnologia da empresa.;[SF3] Os membros da minha empresa recebem treinamento relacionado à proteção tecnológica.;[SF4] Os membros da minha empresa respeitam os gerentes encarregados da proteção tecnológica.;[SG1] Minha empresa possui uma estratégia de longo prazo para a proteção tecnológica.;[SG2] Para minha empresa, a proteção tecnológica é uma prioridade estratégica.;[SG3] Minha empresa possui um plano operacional para execução das ações de proteção tecnológica.;[SG4] Minha empresa investe um orçamento suficiente para proteger sua tecnologia.;[SK1] Na minha empresa, a divisão encarregada da proteção da tecnologia tem expertise em proteção tecnológica.;[SK2] Na minha empresa, os membros do pessoal encarregado da proteção tecnológica têm certificações profissionais.;[SK3] Na minha empresa, a divisão ou o pessoal encarregado da proteção tecnológica recebe o treinamento profissional relevante.;[SK4] Minha empresa possui um manual de resposta para a ocorrência de vazamentos de tecnologia.;[SM1] Minha empresa possui os regulamentos relevantes para proteger sua tecnologia.;[SM2] Minha empresa controla e monitora seus dados técnicos.;[SM3] Minha empresa usa acordos de confidencialidade e não concorrência para proteger sua tecnologia.;[SM4] Minha empresa usa recompensas para funcionários que são excelentes em proteger a tecnologia da empresa e aplica diretrizes previstas para aqueles que violam os regulamentos.;[SU1] Minha empresa possui uma estrutura organizacional sistemática para proteger sua tecnologia.;[SU2] Minha empresa possui um departamento encarregado de suas responsabilidades de proteção tecnológica.;[SU3] Minha empresa possui um gerente encarregado das responsabilidades de proteção tecnológica.;[SU4] Minha empresa opera e gerencia suas responsabilidades de proteção tecnológica de forma eficiente.;[SV2] Minha empresa inclui o conceito de proteção tecnológica em suas metas de gestão.;[SV3] Minha organização está ciente da necessidade de proteção tecnológica.;[SV4] Minha empresa tem uma cultura organizacional que protege sua tecnologia.;[SY1] A equipe de gestão da minha empresa tem um alto nível de interesse em proteção tecnológica.;[SY2] A equipe de gestão da minha empresa reconhece que a proteção tecnológica é importante para as atividades de negócios.;[SY3] A equipe de gestão da minha empresa apoia ativamente a proteção da tecnologia da empresa.;[SY4] A equipe de gestão da minha empresa leva a questão da proteção tecnológica em consideração durante os processos de tomada de decisão.;[TP1] Minha empresa protege bem a confidencialidade relacionada à tecnologia.;[TP2] Minha empresa é melhor no gerenciamento de segurança do que outras empresas.;[TP3] Minha empresa tem menos vazamentos de tecnologia ou incidentes de segurança em comparação com outras empresas.;[TP4] Minha empresa nunca sofreu grandes danos por vazamentos de tecnologia ou incidentes de segurança.;﻿[SV1] Minha empresa compartilha a importância e o valor da proteção tecnológica.
[SF1] Os membros da minha empresa entendem seus papéis e responsabilidades na proteção da tecnologia da empresa.;1.000;0.754;0.598;0.685;0.498;0.528;0.496;0.418;0.392;0.314;0.349;0.410;0.431;0.512;0.375;0.370;0.454;0.364;0.398;0.399;0.487;0.431;0.481;0.490;0.493;0.545;0.496;0.468;0.458;0.323;0.411;0.449
[SF2] Os membros da minha empresa aderem estritamente aos regulamentos e diretrizes relevantes para proteger a tecnologia da empresa.;0.754;1.000;0.675;0.741;0.499;0.627;0.527;0.499;0.447;0.436;0.487;0.499;0.583;0.622;0.438;0.504;0.548;0.421;0.352;0.476;0.507;0.489;0.515;0.611;0.525;0.584;0.589;0.592;0.539;0.481;0.429;0.524
[SF3] Os membros da minha empresa recebem treinamento relacionado à proteção tecnológica.;0.598;0.675;1.000;0.599;0.372;0.515;0.475;0.464;0.384;0.412;0.445;0.390;0.443;0.446;0.334;0.420;0.437;0.374;0.318;0.338;0.477;0.379;0.467;0.528;0.403;0.495;0.502;0.502;0.485;0.341;0.436;0.479
[SF4] Os membros da minha empresa respeitam os gerentes encarregados da proteção tecnológica.;0.685;0.741;0.599;1.000;0.494;0.553;0.508;0.483;0.455;0.461;0.479;0.440;0.459;0.471;0.350;0.369;0.581;0.380;0.413;0.463;0.523;0.511;0.535;0.562;0.493;0.566;0.541;0.527;0.446;0.397;0.399;0.505
[SG1] Minha empresa possui uma estratégia de longo prazo para a proteção tecnológica.;0.498;0.499;0.372;0.494;1.000;0.636;0.563;0.629;0.544;0.449;0.453;0.463;0.584;0.651;0.518;0.374;0.460;0.442;0.409;0.506;0.574;0.564;0.567;0.464;0.427;0.528;0.481;0.569;0.463;0.408;0.438;0.530
[SG2] Para minha empresa, a proteção tecnológica é uma prioridade estratégica.;0.528;0.627;0.515;0.553;0.636;1.000;0.724;0.668;0.508;0.473;0.557;0.459;0.581;0.598;0.468;0.487;0.571;0.475;0.482;0.569;0.604;0.593;0.591;0.565;0.546;0.600;0.539;0.555;0.528;0.428;0.419;0.618
[SG3] Minha empresa possui um plano operacional para execução das ações de proteção tecnológica.;0.496;0.527;0.475;0.508;0.563;0.724;1.000;0.622;0.387;0.409;0.460;0.446;0.588;0.539;0.454;0.475;0.546;0.427;0.359;0.532;0.593;0.498;0.564;0.505;0.419;0.549;0.454;0.411;0.546;0.405;0.442;0.568
[SG4] Minha empresa investe um orçamento suficiente para proteger sua tecnologia.;0.418;0.499;0.464;0.483;0.629;0.668;0.622;1.000;0.439;0.464;0.541;0.441;0.548;0.566;0.410;0.482;0.520;0.438;0.372;0.477;0.560;0.576;0.510;0.530;0.414;0.522;0.473;0.445;0.458;0.405;0.401;0.430
[SK1] Na minha empresa, a divisão encarregada da proteção da tecnologia tem expertise em proteção tecnológica.;0.392;0.447;0.384;0.455;0.544;0.508;0.387;0.439;1.000;0.712;0.715;0.701;0.467;0.463;0.281;0.330;0.522;0.509;0.554;0.506;0.462;0.408;0.430;0.337;0.268;0.281;0.296;0.390;0.372;0.278;0.243;0.334
[SK2] Na minha empresa, os membros do pessoal encarregado da proteção tecnológica têm certificações profissionais.;0.314;0.436;0.412;0.461;0.449;0.473;0.409;0.464;0.712;1.000;0.732;0.711;0.466;0.404;0.349;0.385;0.536;0.444;0.427;0.500;0.476;0.456;0.432;0.304;0.204;0.282;0.283;0.346;0.337;0.318;0.253;0.333
